Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
22:40:33:02.517,61,0.1978719383,0.2044371367,0.0126517806,0.0000000000,0.0000000000,0.0845526159,0.0000000000,0.1981747299,0.2040102333,0.1006351560,0.0000000000,0.0000000000,0.0845468640,0.0000000000,0.1256524175,0.0122004244,0.0000000000,0.0342511460,0.0174654815,0.0176358316,0.0553256981,0.0000000000,0.0105059277,0.0232928954,0.0674274042,0.0000000000,0.0000000000,0.1854865849,0.2110049129,0.1278552562,0.1304369718,0.2597668767,0.0433320329,0.6735198498,0.5507056117,0.3319286406,0.3477274776,0.0511726663,0.0536262132,0.0602290295,0.0659349263,0.2193644047,0.2193779945,0.0962128565,0.0000000000,0.0000000000,0.0676159337,0.0821003541,0.0867194831,0.1124105677,0.1129379496,0.0000000011,-0.1550173312,-0.2435999215,0.0521693341,-0.0609971732,0.1248561740,-0.0076508014,0.0076683452,0.1248872653,0.0009626790
22:40:33:03.517,61,0.1968612671,0.2004597187,0.0169683099,0.0000000000,0.0000000000,0.0839001462,0.0000000000,0.1972260773,0.2000772506,0.0962550864,0.0000000000,0.0000000000,0.0838936120,0.0000000000,0.1338927448,0.0115256878,0.0000000000,0.0338175334,0.0174205359,0.0184901543,0.0577692911,0.0000000000,0.0115010403,0.0000000000,0.0103547527,0.0508615784,0.0000000000,0.1754288673,0.2004558146,0.1229954883,0.1278256774,0.2657160759,0.0429085195,0.6813401580,0.5597933531,0.3365140557,0.3524063230,0.0486625768,0.0507656969,0.0591424219,0.0651728138,0.2154267430,0.2154356837,0.0959789306,0.0000000000,0.0000000000,0.0665174872,0.0780093595,0.0821111053,0.1076006293,0.1092629358,0.0000000015,-0.1488465816,-0.2423505187,0.0449874066,-0.0583597645,0.1224297136,-0.0071766851,0.0102877310,0.1224603951,0.0012661524
22:40:33:04.518,61,0.1965495944,0.1987402290,0.0212177709,0.0000000000,0.0000000000,0.0825800747,0.0000000000,0.1969372928,0.1983960122,0.0920177251,0.0000000000,0.0000000000,0.0825702772,0.0000000000,0.1354859322,0.0103064720,0.0000000000,0.0333002880,0.0173813459,0.0203820691,0.0625308231,0.0000000000,0.0121642891,0.0000000000,0.0000000000,0.0753508806,0.0383232087,0.1469983160,0.1632753313,0.1139153019,0.1205751151,0.2566945553,0.0415152684,0.6722754240,0.5451251864,0.3245868385,0.3320659995,0.0460594594,0.0479014479,0.0583527870,0.0644602105,0.2145806253,0.2145853043,0.0958223566,0.0000000000,0.0000000000,0.0658879951,0.0758607984,0.0796774104,0.1054876596,0.1076758355,0.0000000213,-0.1488465816,-0.2423505187,0.0449874066,-0.0557977110,0.1213830784,-0.0068027219,0.0128657958,0.1214135960,0.0015697592
22:40:33:05.520,61,0.1963721365,0.1970363855,0.0257426947,0.0000000000,0.0000000000,0.0812238976,0.0000000000,0.1967638433,0.1967318654,0.0875364095,0.0000000000,0.0000000000,0.0812098905,0.0000000000,0.1304702759,0.0090577621,0.0000000000,0.0328078233,0.0174210314,0.0244477950,0.0715861022,0.0000000000,0.0125777693,0.0000000000,0.0000000000,0.0843255967,0.0555380248,0.1257932335,0.1407386363,0.1072749794,0.1147177368,0.2379471511,0.0394877829,0.6486209035,0.5182517171,0.2851430476,0.2923209369,0.0442444421,0.0459506772,0.0576938577,0.0638010949,0.2149812281,0.2149787098,0.0957538038,0.0000000000,0.0000000000,0.0657918304,0.0748193711,0.0784475803,0.1056098416,0.1073463187,0.0000000262,-0.1442863047,-0.2423752248,0.0421160385,-0.0530869141,0.1203470379,-0.0064167730,0.0156115387,0.1203774139,0.0018883280
22:40:33:06.520,61,0.1961125880,0.1966050565,0.0278829392,0.0000000000,0.0000000000,0.0797638521,0.0000000000,0.1964990795,0.1963183731,0.0854495838,0.0000000000,0.0000000000,0.0797458291,0.0000000000,0.1212123781,0.0071169594,0.0000000000,0.0322937332,0.0175070390,0.0296229906,0.0782435313,0.0000000000,0.0128389550,0.0000000000,0.0000000000,0.1306965798,0.1136324629,0.1026387811,0.1131727099,0.1030653641,0.1115139201,0.2164530307,0.0359858386,0.6369227171,0.5078568459,0.2728306651,0.2781645656,0.0428487733,0.0444772504,0.0572404042,0.0632896796,0.2189240456,0.2189144194,0.0961727798,0.0000000000,0.0000000000,0.0659010708,0.0745891556,0.0780809522,0.1103982106,0.1102940962,0.0000000477,-0.1418195069,-0.2414833456,0.0405616984,-0.0518229380,0.1200860664,-0.0062504211,0.0169100184,0.1201164573,0.0020408968
22:40:33:07.520,61,0.1955926716,0.1975277513,0.0327272527,0.0000000000,0.0000000000,0.0789298415,0.0000000000,0.1959709376,0.1972794086,0.0806819424,0.0000000000,0.0000000000,0.0789095685,0.0000000000,0.1115493551,0.0041097822,0.0000000000,0.0318176448,0.0176730789,0.0360034332,0.0864772871,0.0000000000,0.0130365128,0.0000000000,0.0000000000,0.1425693780,0.1285659671,0.0848080069,0.0930412188,0.0996969938,0.1087784469,0.2014298290,0.0324383564,0.6314805150,0.5029816628,0.2660088837,0.2702574134,0.0414946489,0.0430998318,0.0570386574,0.0630127266,0.2213148624,0.2213039845,0.0962957963,0.0000000000,0.0000000000,0.0662560016,0.0758600384,0.0789079443,0.1159741059,0.1155465320,0.0000000491,-0.1409028918,-0.2406131923,0.0389035791,-0.0489280522,0.1206562370,-0.0059298538,0.0198465623,0.1206867248,0.0024067510
22:40:33:08.521,61,0.1952068657,0.1979909092,0.0351297446,0.0000000000,0.0000000000,0.0783785880,0.0000000000,0.1955720931,0.1977614909,0.0783586726,0.0000000000,0.0000000000,0.0783563778,0.0000000000,0.1039062068,0.0019570873,0.0000000000,0.0313859172,0.0179128814,0.0399733894,0.0898029208,0.0000000000,0.0131979827,0.0000000000,0.0000000000,0.1481073946,0.1353403926,0.0749505311,0.0821388587,0.0975601673,0.1068817005,0.1874345839,0.0299852211,0.5945077538,0.4729469121,0.2506809235,0.2529014647,0.0405942090,0.0421774015,0.0568426140,0.0627286062,0.2295404375,0.2295287699,0.0970582739,0.0000000000,0.0000000000,0.0665280074,0.0786436871,0.0818343088,0.1207748055,0.1205457970,0.0000000300,-0.1404358894,-0.2392300218,0.0374665000,-0.0475174673,0.1209428087,-0.0057728440,0.0213027559,0.1209733635,0.0025895098
22:40:33:09.522,61,0.1949304789,0.1994076520,0.0362472385,0.0000000000,0.0000000000,0.0778355077,0.0000000000,0.1952810436,0.1991856545,0.0773179755,0.0000000000,0.0000000000,0.0778118446,0.0000000000,0.0991638452,0.0000558072,0.0000000000,0.0309837796,0.0181754176,0.0437614694,0.0919366479,0.0000000000,0.0134338494,0.0000000000,0.0000000000,0.1805537939,0.1671404243,0.0667924136,0.0731612965,0.0962011889,0.1057040244,0.1799008846,0.0277824048,0.5845639110,0.4647760093,0.2442412078,0.2452983409,0.0397408418,0.0413213745,0.0568076894,0.0625973269,0.2379814237,0.2379714400,0.1042603403,0.0000000000,0.0000000000,0.0667309612,0.0820254758,0.0857781321,0.1260214150,0.1257878095,0.0000000258,-0.1412790567,-0.2384438962,0.0374670438,-0.0468814075,0.1218101084,-0.0057368777,0.0219780840,0.1218407899,0.0026909339
22:40:33:10.522,61,0.1966709942,0.2023653984,0.0359105580,0.0000000000,0.0000000000,0.0777464360,0.0000000000,0.1969564706,0.2021377087,0.0776368678,0.0000000000,0.0000000000,0.0777203888,0.0000000000,0.0782705471,0.0000000000,0.0031741904,0.0306453221,0.0185967814,0.0537918247,0.0986740142,0.0000000000,0.0138884196,0.0000000000,0.0000000000,0.1168035120,0.1003108546,0.0599865615,0.0655558482,0.0953004733,0.1050014570,0.1572751999,0.0258035772,0.5740526319,0.4551399648,0.2351077795,0.2349985689,0.0391310044,0.0407438241,0.0571197718,0.0628610998,0.2549301684,0.2549265027,0.1071761996,0.0000000000,0.0000000000,0.0670995712,0.0908077210,0.0955706164,0.1373074204,0.1376362443,0.0000000045,-0.1428779066,-0.2369284779,0.0371116623,-0.0470643118,0.1236164942,-0.0058455169,0.0217690915,0.1236474589,0.0027052744
22:40:33:11.522,61,0.2085541487,0.2098240256,0.0352361500,0.0000000000,0.0000000000,0.0779937804,0.0000000000,0.2086751908,0.2095828801,0.0783280879,0.0000000000,0.0000000000,0.0779651105,0.0000000000,0.0611940250,0.0000000000,0.0058844388,0.0304321405,0.0201043934,0.0790839866,0.1162347049,0.0000000000,0.0142587591,0.0000000000,0.0000000000,0.0325200185,0.0158688687,0.0515513010,0.0557356030,0.0949624106,0.1048073247,0.1350401789,0.0238894541,0.5142044425,0.3976496756,0.2152871042,0.2148317546,0.0390629359,0.0407159291,0.0620214269,0.0679352582,0.2941161394,0.2941117883,0.1102271006,0.0000000000,0.0000000000,0.0671526343,0.1022660509,0.1094038635,0.1519398689,0.1534492373,0.0000000027,-0.1444764137,-0.2363224477,0.0378018208,-0.0474560149,0.1281719804,-0.0061136885,0.0213479474,0.1282035857,0.0027517611
